Ms	Code	A0	CA	MA	T	AX	AY	AZ	GX	GY	GZ
0	20	0.00	0	0.60	29.20	0	-8	0	-136	-821	-6	
106	20	0.00	0	1.83	29.20	0	-7	0	-302	-15	-12	
210	20	0.00	1	1.39	29.20	0	-7	0	-268	-554	27	
317	20	0.00	1	1.22	29.20	0	-7	0	-178	-293	-111	
422	20	0.00	1	1.48	29.20	0	-8	0	-177	-308	-31	
529	20	0.00	1	1.30	29.20	0	-8	0	-276	-439	13	
635	20	0.00	1	1.13	29.30	0	-8	0	-285	-522	-37	
748	20	0.00	1	1.48	29.30	0	-7	0	-296	167	105	
852	20	0.00	1	2.00	29.20	0	-8	0	-120	-714	-183	
959	20	0.00	1	1.83	29.20	0	-8	0	-347	-35	136	
1064	20	0.00	1	1.30	29.20	0	-8	0	-264	609	177	
1172	20	0.00	1	2.17	29.20	0	-8	0	-236	-327	-156	
1279	20	0.00	1	1.74	29.30	0	-8	0	-411	-593	-80	
1386	20	0.00	1	1.91	29.30	0	-7	0	-297	-488	-83	
1493	20	0.00	1	2.17	29.30	0	-8	-1	-358	-2049	78	
1600	20	0.00	1	1.74	29.30	0	-7	0	-452	-249	-67	
1707	20	0.00	1	2.00	29.30	0	-8	0	-152	-352	-10	
1815	20	0.00	1	1.65	29.30	0	-8	0	-121	-197	-163	
1928	20	0.00	1	1.56	29.30	0	-8	0	-367	-662	-70	
2034	20	0.00	1	2.00	29.30	0	-8	0	-274	70	127	
2141	20	0.00	1	1.74	29.30	0	-8	0	-210	-147	84	
2249	20	0.00	1	1.65	29.30	0	-8	0	-346	-605	-160	
2355	20	0.00	1	2.52	29.30	0	-8	0	-193	-268	-139	
2463	20	0.00	1	1.48	29.30	0	-7	0	-235	-156	96	
2569	20	0.00	1	1.65	29.30	0	-8	0	-326	-138	-29	
2677	20	0.00	1	1.91	29.30	0	-8	0	-324	-514	-146	
2784	20	0.00	1	1.91	29.30	0	-8	0	-46	-321	-78	
2891	20	0.00	1	1.13	29.30	0	-8	0	-226	-408	131	
2999	20	0.00	1	1.74	29.30	0	-8	0	-437	-132	67	
3112	20	0.00	1	1.22	29.30	0	-8	0	-175	-295	-111	
3219	20	0.00	1	1.74	29.30	0	-7	0	-226	19	-75	
3325	20	0.00	1	1.13	29.30	0	-8	0	-393	53	196	
3433	20	0.00	1	1.65	29.30	0	-8	0	-375	228	166	
3539	20	0.00	1	1.30	29.30	0	-8	0	-152	-406	-128	
3647	20	0.00	1	1.48	29.30	0	-8	0	-256	-511	-208	
3754	20	0.00	1	1.39	29.30	0	-7	0	-296	-315	3	
3861	20	0.00	1	1.83	29.30	0	-8	0	-202	75	110	
3968	20	0.00	1	1.39	29.30	0	-8	0	-284	-179	-25	
4076	20	0.00	1	1.22	29.30	0	-8	0	-342	-56	-94	
4182	20	0.00	1	0.34	29.40	-1	-8	0	-220	-160	119	
4296	20	0.00	1	1.04	29.40	-1	-8	0	-236	889	233	
4402	20	0.00	1	0.78	29.30	-1	-9	0	-398	-1484	-129	
4510	20	0.00	1	0.78	29.40	0	-7	-1	244	1783	1	
4616	20	0.00	1	1.30	29.30	0	-7	0	215	4103	583	
4724	20	0.00	1	1.56	29.30	-1	-7	0	-108	4121	435	
