Ms	Code	A0	CA	MA	T	AX	AY	AZ	GX	GY	GZ
0	20	0.00	0	0.45	20.60	1	7	0	-523	-2	-15	
127	20	0.00	0	0.27	20.60	1	7	0	-310	-517	-62	
236	20	0.00	0	0.10	20.60	1	7	0	-322	-721	-91	
343	20	0.00	0	0.18	20.60	1	7	0	-142	-1166	-2	
451	20	0.00	0	0.53	20.60	1	7	0	-312	-549	-8	
559	20	0.00	0	-0.25	20.70	1	8	0	-412	-729	-24	
668	20	0.00	0	0.53	20.60	1	7	0	-344	328	-95	
775	20	0.00	0	0.62	20.70	1	7	0	-135	-147	-105	
883	20	0.00	0	0.27	20.70	1	7	0	-163	-103	71	
990	20	0.00	0	0.10	20.70	1	7	0	-373	-784	-16	
1098	20	0.00	0	-0.87	20.70	1	7	0	-264	-399	-114	
1215	20	0.00	0	-0.08	20.70	1	8	0	26	55	206	
1324	20	0.00	0	0.36	20.70	1	7	0	-308	-243	60	
1434	20	0.00	0	0.36	20.70	1	7	0	-302	-343	-33	
1542	20	0.00	0	0.36	20.70	1	8	0	-99	1386	228	
1651	20	0.00	0	0.01	20.70	1	8	0	-25	849	157	
1759	20	0.00	0	-0.60	20.70	1	7	0	-376	-1031	1	
1869	20	0.00	0	0.27	20.70	1	7	0	-112	-105	-78	
1978	20	0.00	0	-0.25	20.70	1	7	0	-382	-341	35	
2088	20	0.00	0	0.36	20.70	1	7	0	-338	-1085	-25	
2198	20	0.00	0	0.53	20.70	1	7	0	-150	80	-99	
2306	20	0.00	0	-0.08	20.70	1	7	0	-248	-337	73	
2423	20	0.00	0	-0.34	20.70	1	7	0	-330	-511	-40	
2532	20	0.00	0	-0.25	20.70	1	7	0	-119	163	-159	
2642	20	0.00	0	0.01	20.70	1	7	0	-235	-164	80	
2751	20	0.00	0	-0.34	20.70	1	7	0	-333	-926	28	
2861	20	0.00	0	-0.25	20.70	1	7	0	-525	1496	-254	
2971	20	0.00	0	0.10	20.70	-16	15	-9	-2701	1461	10763	
3079	20	0.00	0	0.27	20.70	0	8	0	-922	1965	690	
3189	20	0.00	0	0.36	20.70	-1	8	1	-709	-53	-249	
3297	20	0.00	0	-0.34	20.70	5	1	-12	-1676	228	288	
3407	20	0.00	0	-0.25	20.70	0	8	0	-175	2565	187	
3516	20	0.00	0	0.01	20.70	1	7	0	-348	-1506	50	
3623	20	0.00	0	0.10	20.70	0	8	0	281	799	-182	
3733	20	0.00	0	0.18	20.70	0	8	0	506	1787	-49	
3841	20	0.00	0	0.27	20.70	0	7	-2	-593	-189	-100	
3951	20	0.00	0	0.45	20.70	0	7	0	-929	-7812	-270	
4060	20	0.00	0	0.10	20.70	0	7	0	619	2798	-228	
4169	20	0.00	0	-0.25	20.70	0	8	0	-267	5746	-144	
4278	20	0.00	0	0.01	20.70	1	7	-1	-268	771	-415	
4387	20	0.00	0	0.36	20.70	0	7	0	-183	2247	-327	
4496	20	0.00	0	0.18	20.70	0	7	0	-188	66	8	
4605	20	0.00	0	0.27	20.70	0	8	0	-528	-1003	246	
4720	20	0.00	0	-0.08	20.70	1	8	0	-175	739	-159	
4830	20	0.00	0	0.18	20.70	0	7	0	-57	587	-129	
4939	20	0.00	0	0.36	20.70	1	7	0	-194	-1555	486	
5047	20	0.00	0	0.01	20.70	1	7	-1	-80	-1843	97	
5156	20	0.00	0	-0.34	20.70	0	7	0	-288	806	-120	
5267	20	0.00	0	-0.17	20.70	0	7	0	-409	-893	-55	
5376	20	0.00	0	0.36	20.70	1	7	0	-165	422	86	
5485	20	0.00	0	0.27	20.70	0	7	0	-149	175	178	
5593	20	0.00	0	0.45	20.70	1	8	0	-295	-424	14	
5753	20	0.00	0	0.27	20.70	2	5	-2	-447	-1477	-374	
5862	20	0.00	0	0.01	20.70	0	6	-1	-209	-1708	-97	
5978	20	0.00	0	0.45	20.70	0	7	0	-287	-6052	-143	
6087	20	0.00	0	0.18	20.70	1	8	0	-38	-609	-94	
6196	20	0.00	0	0.36	20.70	0	7	0	-438	-1076	81	
6305	20	0.00	0	0.18	20.70	1	6	0	-260	1456	292	
6413	20	0.00	0	0.01	20.70	1	7	0	322	1387	0	
6522	20	0.00	0	0.10	20.70	0	7	0	6	2158	9	
6630	20	0.00	0	-0.17	20.70	0	7	0	-286	1259	-37	
6741	20	0.00	0	-0.08	20.70	0	7	0	-355	-2996	-168	
6851	20	0.00	0	0.18	20.70	-1	7	-1	1520	6060	28	
6959	20	0.00	0	0.01	20.70	0	11	0	-1089	2307	-8	
7068	20	0.00	0	0.01	20.70	1	9	0	-360	3402	-209	
7183	20	0.00	0	0.27	20.70	2	6	-1	-150	2269	825	
7292	20	0.00	0	0.45	20.70	0	6	0	170	3069	127	
7402	20	0.00	0	0.45	20.70	0	6	0	-179	2611	-212	
7510	20	0.00	0	0.45	20.70	0	8	0	-52	881	49	
7619	20	0.00	0	0.71	20.70	0	8	1	-91	2990	427	
7728	20	0.00	0	0.27	20.70	0	6	0	-70	4226	-297	
7837	20	0.00	0	0.53	20.80	0	7	0	87	5524	36	
7945	20	0.00	0	0.71	20.70	1	6	0	-151	4816	-132	
8054	20	0.00	0	0.27	20.70	0	7	0	-112	3368	303	
8163	20	0.00	0	0.01	20.70	0	7	0	-402	1750	-636	
8272	20	0.00	0	0.88	20.70	0	7	0	-46	216	378	
8387	20	0.00	0	0.53	20.70	0	8	0	-395	2568	172	
8496	20	0.00	0	0.18	20.80	1	7	0	-194	3473	33	
8605	20	0.00	0	0.36	20.80	1	7	0	60	367	-1	
8713	20	0.00	0	0.71	20.80	0	7	0	-186	3488	-640	
8822	20	0.00	0	0.01	20.80	0	7	0	-399	288	-343	
8930	20	0.00	0	0.80	20.80	0	7	0	-220	239	141	
9040	20	0.00	0	0.45	20.80	0	7	0	-180	39	248	
9148	20	0.00	0	0.27	20.70	1	7	0	-237	1078	-198	
9257	20	0.00	0	0.45	20.80	0	7	0	-208	-57	-410	
9366	20	0.00	0	0.36	20.80	0	7	0	-149	-1576	-331	
9474	20	0.00	0	0.71	20.80	0	7	0	-264	-1351	-310	
9591	20	0.00	0	0.53	20.80	0	7	0	-595	-899	240	
9699	20	0.00	0	0.27	20.80	1	8	0	-199	-728	-155	
9808	20	0.00	0	-0.17	20.80	0	7	0	-384	116	188	
9919	20	0.00	0	0.62	20.80	0	7	0	-238	-1079	120	
10027	20	0.00	0	0.71	20.80	0	7	0	118	-677	-177	
10137	20	0.00	0	0.27	20.80	0	7	0	-303	479	151	
10246	20	0.00	0	0.45	20.80	0	7	0	-177	221	130	
10357	20	0.00	0	0.45	20.80	0	7	0	-417	44	115	
10466	20	0.00	0	0.53	20.80	0	7	0	-160	49	-37	
10576	20	0.00	0	0.36	20.80	0	7	0	-44	-326	-40	
10686	20	0.00	0	0.62	20.80	0	7	0	-426	-90	189	
10802	20	0.00	0	0.36	20.80	0	7	0	-393	-508	-2	
10912	20	0.00	0	0.53	20.80	0	7	0	-323	-353	87	
11022	20	0.00	0	0.36	20.80	0	7	0	-223	-341	-10	
11132	20	0.00	0	0.45	20.80	-1	15	-6	-4087	-30906	720	
11242	20	0.00	0	0.71	20.80	-1	5	1	380	-4492	1833	
11352	20	0.00	0	0.45	20.80	1	7	0	-639	-1030	-386	
11514	20	0.00	0	0.53	20.80	0	7	0	217	-2824	-299	
11624	20	0.00	0	0.62	20.80	0	7	0	-115	-1807	562	
11734	20	0.00	0	0.10	20.80	1	7	1	-500	-3509	-6	
11844	20	0.00	0	0.10	20.80	0	8	0	-151	-1680	20	
11960	20	0.00	0	0.18	20.80	0	7	0	-193	-2338	-217	
12070	20	0.00	0	0.10	20.80	0	8	0	-525	-2337	-535	
12181	20	0.00	0	0.01	20.80	0	8	1	-169	-2167	-148	
12290	20	0.00	0	-0.08	20.80	0	8	0	-26	-594	23	
12401	20	0.00	0	0.01	20.80	0	8	0	194	-1647	493	
