Ms	Code	A0	CA	MA	T	AX	AY	AZ	GX	GY	GZ
0	20	0.00	0	-0.23	16.00	0	8	0	-246	-63	-41	
127	20	0.00	0	-0.06	16.00	0	7	0	-179	-282	-74	
236	20	0.00	0	-0.50	16.00	0	7	0	-240	-158	0	
345	20	0.00	0	-0.06	16.00	0	7	0	-218	18	54	
453	20	0.00	0	-0.50	16.00	0	7	0	-169	-58	103	
562	20	0.00	0	-0.77	16.00	0	7	0	-234	83	156	
670	20	0.00	0	-0.32	16.00	0	7	0	-257	-397	13	
779	20	0.00	0	-0.41	16.00	0	8	0	-332	291	-28	
887	20	0.00	0	-0.50	16.00	0	8	0	-328	-652	163	
1051	20	0.00	0	0.13	16.00	0	8	0	-218	1226	16	
1160	20	0.00	0	0.04	16.00	0	8	0	-265	99	88	
1275	20	0.00	0	-0.23	16.00	0	7	0	-264	-844	192	
1384	20	0.00	0	-0.32	16.00	0	7	0	-286	204	93	
1495	20	0.00	0	-0.50	16.00	0	7	0	277	-624	-100	
1604	20	0.00	0	-0.41	16.00	0	8	0	-163	-601	13	
1715	20	0.00	0	-0.23	16.00	0	7	0	-230	-362	-137	
1824	20	0.00	0	-0.59	16.00	0	8	0	-120	315	-141	
1934	20	0.00	0	-0.68	16.10	0	7	0	-158	184	-21	
2044	20	0.00	0	-0.15	16.00	0	8	0	-68	-138	-15	
2153	20	0.00	0	-0.59	16.00	0	7	0	-248	217	-128	
2264	20	0.00	0	-0.59	16.10	0	7	0	-191	179	130	
2373	20	0.00	0	-0.41	16.10	0	7	0	-117	-273	-48	
2489	20	0.00	0	-0.59	16.00	0	7	0	-301	-322	-157	
2600	20	0.00	0	-0.15	16.10	0	7	0	-212	-424	260	
2709	20	0.00	0	-0.59	16.10	0	7	0	-160	-195	-137	
2819	20	0.00	0	-0.77	16.00	0	7	0	-290	-393	-63	
2929	20	0.00	0	-0.32	16.10	0	7	0	-281	-163	112	
3039	20	0.00	0	-0.23	16.10	0	7	0	-105	-110	-57	
3148	20	0.00	0	-0.32	16.10	0	7	0	-244	-357	-23	
3259	20	0.00	0	-0.06	16.10	0	7	0	-345	-82	-21	
3369	20	0.00	0	-0.23	16.10	0	7	0	-102	-70	48	
3478	20	0.00	0	-0.32	16.10	0	7	0	-192	-260	-100	
3595	20	0.00	0	-0.06	16.10	0	7	0	-330	-346	21	
3704	20	0.00	0	-0.32	16.10	0	7	0	-77	-177	24	
3814	20	0.00	0	-0.41	16.10	0	7	0	-148	-154	-110	
3924	20	0.00	0	-0.23	16.10	0	7	0	-368	-346	60	
4033	20	0.00	0	-0.41	16.10	0	7	0	-170	-157	-41	
4144	20	0.00	0	-0.32	16.10	0	7	0	-98	-209	-16	
4253	20	0.00	0	-0.06	16.10	0	7	0	-340	-306	1	
4363	20	0.00	0	-0.23	16.10	0	7	0	-235	-148	-71	
4472	20	0.00	0	-0.68	16.10	0	7	0	-103	-153	8	
4582	20	0.00	0	-0.15	16.10	0	7	0	-298	-205	-27	
4692	20	0.00	0	-0.32	16.10	0	7	0	-270	-298	-25	
4809	20	0.00	0	-0.15	16.10	0	7	0	-96	-126	-49	
4919	20	0.00	0	-0.23	16.10	0	7	0	-254	-213	44	
5029	20	0.00	0	0.66	16.10	0	7	0	-270	-365	-10	
5137	20	0.00	0	1.19	16.10	0	7	0	-128	-419	-63	
5246	20	0.00	0	0.75	16.10	0	7	0	-241	-453	66	
5354	20	0.00	0	1.11	16.10	0	7	0	-364	-364	-47	
5464	20	0.00	0	0.84	16.10	0	7	0	-200	-368	-74	
5572	20	0.00	0	0.66	16.10	0	7	0	-191	-327	52	
5681	20	0.00	0	0.75	16.10	0	7	0	-240	-272	-10	
5789	20	0.00	0	0.75	16.10	0	7	0	-163	-189	-88	
5898	20	0.00	0	0.84	16.10	0	7	0	-174	9	3	
6013	20	0.00	0	1.02	16.10	0	7	0	-242	-122	30	
6122	20	0.00	0	0.66	16.10	0	7	0	-214	-251	-72	
6231	20	0.00	0	1.02	16.10	0	7	0	-167	-226	16	
6394	20	0.00	0	1.19	16.10	0	7	0	-230	-167	-11	
6502	20	0.00	0	1.11	16.10	0	7	0	-171	-193	-96	
6611	20	0.00	0	0.21	16.10	0	7	0	-213	-139	35	
6720	20	0.00	0	0.84	16.10	0	7	0	-235	-217	13	
6829	20	0.00	0	1.02	16.10	0	7	0	-210	-339	-90	
6937	20	0.00	0	0.84	16.10	0	7	0	-239	-207	1	
7046	20	0.00	0	1.02	16.20	0	7	0	-224	-207	54	
7154	20	0.00	0	1.02	16.20	0	7	0	-193	-255	-82	
7270	20	0.00	0	1.37	16.20	0	7	0	-231	-224	-8	
7379	20	0.00	0	0.93	16.20	0	7	0	-211	-202	65	
7487	20	0.00	1	1.11	16.20	0	7	0	-180	-190	-74	
7596	20	0.00	1	1.19	16.20	0	7	0	-233	-255	-35	
7704	20	0.00	1	1.37	16.20	0	7	0	-221	-197	47	
7813	20	0.00	1	1.37	16.20	0	7	0	-178	-227	-22	
7922	20	0.00	1	1.19	16.20	0	7	0	-242	-287	-28	
8031	20	0.00	1	1.02	16.20	0	7	0	-246	-235	33	
8139	20	0.00	1	0.84	16.20	0	7	0	-182	-172	8	
8248	20	0.00	1	0.93	16.20	0	7	0	-210	-252	-58	
8357	20	0.00	1	1.19	16.20	0	7	0	-285	-243	18	
8472	20	0.00	1	1.11	16.20	0	7	0	-162	-165	15	
8581	20	0.00	1	1.19	16.20	0	7	0	-189	-233	-43	
8690	20	0.00	1	0.93	16.20	0	7	0	-253	-234	9	
8799	20	0.00	1	0.75	16.20	0	7	0	-183	-166	-3	
8907	20	0.00	1	1.19	16.20	0	7	0	-180	-212	-19	
9016	20	0.00	1	0.93	16.20	0	7	0	-263	-245	-18	
9125	20	0.00	0	-0.15	16.20	0	7	0	-179	-200	-20	
9234	20	0.00	0	0.04	16.20	0	7	0	-158	-191	-8	
9343	20	0.00	0	0.04	16.20	0	7	0	-266	-259	-17	
9451	20	0.00	0	-0.06	16.20	0	7	0	-218	-228	-27	
9562	20	0.00	0	-0.15	16.20	0	7	0	-147	-177	-15	
9677	20	0.00	0	-0.41	16.20	0	7	0	-259	-201	-9	
9788	20	0.00	0	-0.68	16.20	0	7	0	-240	-241	-1	
9898	20	0.00	0	-0.23	16.20	0	7	0	-160	-209	-19	
10007	20	0.00	0	-0.50	16.20	0	7	0	-229	-215	-1	
10118	20	0.00	0	0.13	16.20	0	7	0	-249	-276	-24	
10227	20	0.00	0	-0.41	16.20	0	8	0	-187	-207	-33	
10339	20	0.00	0	-0.41	16.20	0	7	0	-223	-192	11	
10450	20	0.00	0	0.30	16.20	0	7	0	-257	-243	-24	
10560	20	0.00	0	-0.77	16.20	0	7	0	-185	-208	-49	
10671	20	0.00	0	-0.06	16.20	0	7	0	-218	-210	2	
10781	20	0.00	0	-0.06	16.20	0	7	0	-250	-260	-8	
10899	20	0.00	0	0.30	16.20	0	7	0	-205	-216	-54	
11009	20	0.00	0	-0.59	16.20	0	7	0	-190	-177	24	
11119	20	0.00	0	0.04	16.20	0	7	0	-228	-218	-20	
11229	20	0.00	0	0.04	16.20	0	7	0	-225	-251	-24	
11339	20	0.00	0	-0.59	16.20	0	7	0	-187	-181	8	
11450	20	0.00	0	-0.06	16.20	0	7	0	-217	-195	11	
11561	20	0.00	0	-0.15	16.20	0	7	0	-213	-234	-38	
11671	20	0.00	0	-0.06	16.20	0	7	0	-219	-205	-3	
11837	20	0.00	0	-0.23	16.20	0	7	0	-211	-211	-19	
11948	20	0.00	0	-0.06	16.20	0	7	0	-224	-258	-31	
12059	20	0.00	0	0.04	16.20	0	7	0	-230	-218	18	
12175	20	0.00	0	0.04	16.20	0	7	0	-207	-211	-1	
12286	20	0.00	0	0.21	16.20	0	7	0	-203	-234	-38	
12395	20	0.00	0	0.13	16.20	0	7	0	-221	-213	12	
12506	20	0.00	0	-0.23	16.20	0	7	0	-208	-196	6	
