Ms	Code	A0	CA	MA	T	AX	AY	AZ	GX	GY	GZ
0	20	0.00	0	0.92	28.50	0	0	0	0	0	0	
68	20	0.00	0	0.57	28.50	0	0	0	0	0	0	
121	20	0.00	0	0.21	28.50	0	0	0	0	0	0	
174	20	0.00	0	0.21	28.50	0	0	0	0	0	0	
231	20	0.00	0	0.12	28.60	0	0	0	0	0	0	
283	20	0.00	0	0.12	28.60	0	0	0	0	0	0	
337	20	0.00	0	0.04	28.60	0	0	0	0	0	0	
389	20	0.00	0	0.30	28.60	0	0	0	0	0	0	
442	20	0.00	0	0.57	28.60	0	0	0	0	0	0	
494	20	0.00	0	0.21	28.60	0	0	0	0	0	0	
552	20	0.00	0	-0.14	28.60	0	0	0	0	0	0	
604	20	0.00	0	0.21	28.60	0	0	0	0	0	0	
657	20	0.00	0	0.30	28.60	0	0	0	0	0	0	
712	20	0.00	0	0.30	28.60	0	0	0	0	0	0	
765	20	0.00	0	-0.41	28.60	0	0	0	0	0	0	
822	20	0.00	0	-0.14	28.60	0	0	0	0	0	0	
875	20	0.00	0	0.21	28.60	0	0	0	0	0	0	
929	20	0.00	0	0.12	28.60	0	0	0	0	0	0	
981	20	0.00	0	0.04	28.60	0	0	0	0	0	0	
1034	20	0.00	0	0.21	28.60	0	0	0	0	0	0	
1086	20	0.00	0	-0.23	28.60	0	0	0	0	0	0	
1144	20	0.00	0	0.57	28.60	0	0	0	0	0	0	
1197	20	0.00	0	0.12	28.60	0	0	0	0	0	0	
1250	20	0.00	0	0.30	28.60	0	0	0	0	0	0	
1302	20	0.00	0	0.12	28.60	0	0	0	0	0	0	
1356	20	0.00	0	-0.06	28.60	0	0	0	0	0	0	
1411	20	0.00	0	0.21	28.60	0	0	0	0	0	0	
1468	20	0.00	0	0.12	28.60	0	0	0	0	0	0	
1521	20	0.00	0	0.57	28.60	0	0	0	0	0	0	
1574	20	0.00	0	1.18	28.60	0	0	0	0	0	0	
1627	20	0.00	0	0.21	28.60	0	0	0	0	0	0	
1679	20	0.00	0	0.48	28.60	0	0	0	0	0	0	
1732	20	0.00	0	0.65	28.60	0	0	0	0	0	0	
1790	20	0.00	0	0.57	28.60	0	0	0	0	0	0	
1843	20	0.00	0	1.01	28.60	0	0	0	0	0	0	
1895	20	0.00	0	0.48	28.60	0	0	0	0	0	0	
1948	20	0.00	0	0.48	28.60	0	0	0	0	0	0	
2002	20	0.00	0	-0.32	28.60	0	0	0	0	0	0	
2054	20	0.00	0	0.48	28.60	0	0	0	0	0	0	
2114	20	0.00	0	0.12	28.60	0	0	0	0	0	0	
2167	20	0.00	0	-0.06	28.60	0	0	0	0	0	0	
2220	20	0.00	0	0.04	28.60	0	0	0	0	0	0	
2273	20	0.00	0	0.30	28.60	0	0	0	0	0	0	
2325	20	0.00	0	-0.14	28.60	0	0	0	0	0	0	
2383	20	0.00	0	0.39	28.60	0	0	0	0	0	0	
2436	20	0.00	0	-0.06	28.60	0	0	0	0	0	0	
2488	20	0.00	0	0.04	28.60	0	0	0	0	0	0	
2541	20	0.00	0	0.30	28.60	0	0	0	0	0	0	
2595	20	0.00	0	0.39	28.60	0	0	0	0	0	0	
2647	20	0.00	0	0.39	28.60	0	0	0	0	0	0	
2704	20	0.00	0	0.04	28.60	0	0	0	0	0	0	
2757	20	0.00	0	-0.06	28.60	0	0	0	0	0	0	
2813	20	0.00	0	0.12	28.70	0	0	0	0	0	0	
2866	20	0.00	0	0.04	28.70	0	0	0	0	0	0	
2918	20	0.00	0	0.39	28.70	0	0	0	0	0	0	
2971	20	0.00	0	0.30	28.70	0	0	0	0	0	0	
3029	20	0.00	0	0.39	28.70	0	0	0	0	0	0	
3081	20	0.00	0	0.39	28.70	0	0	0	0	0	0	
3134	20	0.00	0	-0.23	28.70	0	0	0	0	0	0	
3187	20	0.00	0	-0.41	28.70	0	0	0	0	0	0	
3240	20	0.00	0	-0.32	28.70	0	0	0	0	0	0	
3293	20	0.00	0	-0.32	28.70	0	0	0	0	0	0	
3350	20	0.00	0	-0.67	28.70	0	0	0	0	0	0	
3404	20	0.00	0	-0.50	28.70	0	0	0	0	0	0	
3457	20	0.00	0	-0.50	28.70	0	0	0	0	0	0	
