Ms	Code	A0	CA	MA	T	AX	AY	AZ	GX	GY	GZ
0	20	0.00	0	-0.06	27.80	0	-7	1	-269	-468	-509	
76	20	0.00	0	-0.06	27.80	1	-8	1	-211	-307	158	
131	20	0.00	0	-0.06	27.80	1	-7	1	-156	-373	225	
186	20	0.00	0	0.12	27.80	1	-7	1	-189	23	268	
242	20	0.00	0	0.47	27.80	2	-7	0	-188	1228	634	
297	20	0.00	0	0.47	27.80	1	-7	1	-173	94	198	
356	20	0.00	0	0.12	27.80	1	-7	1	-173	-71	88	
411	20	0.00	0	0.91	27.80	1	-7	1	-144	222	-38	
466	20	0.00	0	0.29	27.80	0	-7	1	-37	-120	81	
521	20	0.00	0	0.47	27.80	1	-7	1	205	-983	157	
576	20	0.00	0	0.29	27.80	0	-8	2	-93	-1994	-340	
635	20	0.00	0	0.12	27.80	0	-8	3	127	-1776	-258	
694	20	0.00	0	0.29	27.80	1	-8	1	-103	-518	81	
749	20	0.00	0	0.29	27.80	1	-7	1	-61	-545	20	
805	20	0.00	0	0.12	27.80	0	-7	1	-25	-842	-66	
860	20	0.00	0	0.03	27.90	5	-7	-3	-76	4312	2060	
915	20	0.00	0	-0.15	27.90	3	-7	0	-42	1149	337	
971	20	0.00	0	-0.06	27.90	2	-7	0	-236	18	499	
1030	20	0.00	0	-0.24	27.90	3	-7	0	-231	957	410	
1085	20	0.00	0	-0.06	27.90	1	-7	0	49	334	381	
1141	20	0.00	0	0.03	27.90	1	-7	0	94	50	480	
1196	20	0.00	0	-0.15	27.90	2	-7	1	-97	-479	456	
1254	20	0.00	0	-0.33	27.90	1	-7	2	-250	-956	99	
1314	20	0.00	0	-0.06	27.90	1	-7	1	-352	88	124	
1369	20	0.00	0	-0.33	27.90	1	-7	1	-285	112	85	
1424	20	0.00	0	-0.24	27.90	1	-7	1	-150	-458	221	
1480	20	0.00	0	0.38	27.90	1	-7	1	2	-470	314	
1535	20	0.00	0	0.20	27.90	1	-7	1	-29	-476	400	
1590	20	0.00	0	-0.15	27.90	1	-7	1	-222	-294	486	
1651	20	0.00	0	0.12	27.90	2	-8	1	-271	597	135	
1706	20	0.00	0	0.38	27.90	1	-7	0	4	-1171	-255	
1761	20	0.00	0	-0.42	27.90	3	-8	1	-166	-881	1379	
1816	20	0.00	0	0.20	27.90	15	-7	-16	78	29474	1904	
1875	20	0.00	0	0.03	27.90	7	-7	-3	-188	8382	1571	
1930	20	0.00	0	-0.33	27.90	-3	-11	0	-1161	-3587	-3637	
1991	20	0.00	0	-0.06	27.90	3	-7	0	345	1776	2255	
2046	20	0.00	0	-0.42	27.90	-2	-8	4	-40	-3413	-228	
2101	20	0.00	0	-0.33	27.90	1	-7	0	127	-91	182	
2156	20	0.00	0	-0.42	27.90	1	-7	1	-2	-559	-176	
2212	20	0.00	0	-0.33	27.90	0	-8	2	-159	-1476	-315	
2267	20	0.00	0	-0.15	27.90	0	-8	1	-387	-1194	-209	
2327	20	0.00	0	-0.24	27.90	2	-7	0	-431	292	390	
2383	20	0.00	0	-0.24	27.90	1	-7	1	-267	2744	274	
2440	20	0.00	0	-0.59	27.90	2	-7	1	95	-502	155	
2496	20	0.00	0	-0.51	27.90	1	-7	2	-69	-591	-98	
2552	20	0.00	0	-0.24	27.90	1	-7	1	-310	-608	33	
2611	20	0.00	0	0.20	27.90	1	-8	2	-556	-152	-4	
2666	20	0.00	0	0.03	27.90	1	-7	1	-422	32	189	
2722	20	0.00	0	-0.51	27.90	1	-7	1	-168	237	19	
2777	20	0.00	0	-0.24	27.90	1	-7	1	75	-625	42	
2832	20	0.00	0	-0.06	27.90	1	-7	1	-85	-118	92	
2888	20	0.00	0	-0.33	27.90	1	-7	1	-263	-373	167	
2948	20	0.00	0	-0.42	27.90	1	-8	2	47	-9814	80	
3003	20	0.00	0	-0.15	27.90	4	-7	-1	-61	3643	1519	
3061	20	0.00	0	-0.24	27.90	2	-8	1	-101	-179	151	
3117	20	0.00	0	0.38	27.90	1	-7	1	-161	95	178	
3172	20	0.00	0	-0.68	27.90	1	-8	1	-167	502	109	
3228	20	0.00	0	-0.33	28.00	1	-7	1	-490	1920	193	
3287	20	0.00	0	-0.06	27.90	1	-7	1	-674	3653	-12	
3342	20	0.00	0	-0.59	28.00	1	-7	1	-464	3682	-83	
3398	20	0.00	0	-0.59	28.00	1	-7	1	-41	-782	47	
3453	20	0.00	0	-0.51	28.00	1	-7	1	-168	494	77	
3508	20	0.00	0	-0.33	28.00	1	-7	1	-123	-1003	255	
3564	20	0.00	0	-0.15	28.00	1	-7	1	-228	86	142	
3627	20	0.00	0	-0.68	28.00	1	-7	1	-243	-390	118	
3682	20	0.00	0	-0.06	28.00	1	-7	1	-365	437	17	
3737	20	0.00	0	-0.33	28.00	1	-7	1	-301	-100	-31	
3793	20	0.00	0	0.12	28.00	1	-7	1	-220	210	-7	
3848	20	0.00	0	-0.24	28.00	1	-7	1	-102	-215	151	
3907	20	0.00	0	-0.42	28.00	1	-7	1	-207	-335	316	
3963	20	0.00	0	-0.06	28.00	1	-7	1	-315	-379	226	
4019	20	0.00	0	-0.24	28.00	1	-8	1	-319	92	84	
4074	20	0.00	0	0.12	28.00	1	-8	1	-198	-70	-68	
4130	20	0.00	0	-0.15	28.00	1	-8	1	-194	-55	-133	
4185	20	0.00	0	-0.15	28.00	1	-7	1	-288	89	73	
4247	20	0.00	0	0.20	28.00	1	-7	1	-295	-264	225	
4303	20	0.00	0	-0.15	28.00	1	-7	1	-273	-115	201	
4358	20	0.00	0	0.12	28.00	1	-7	1	-117	-377	110	
4413	20	0.00	0	-0.59	28.00	1	-7	1	-199	65	-18	
4469	20	0.00	0	-0.15	28.00	1	-7	1	-272	-42	15	
4524	20	0.00	0	-0.42	28.00	1	-7	1	-372	272	-55	
4583	20	0.00	0	0.82	28.00	3	-6	1	-184	1349	529	
4639	20	0.00	0	0.47	28.00	0	-7	1	-283	-421	19	
4694	20	0.00	0	0.47	28.00	1	-7	1	-147	-275	202	
4749	20	0.00	0	0.20	28.00	1	-7	1	-177	21	120	
4804	20	0.00	0	0.20	28.00	1	-7	1	-202	-404	-18	
4867	20	0.00	0	0.29	28.00	1	-7	1	-321	96	0	
4922	20	0.00	0	0.03	28.00	1	-7	1	-374	-2	56	
4978	20	0.00	0	-0.06	28.00	1	-7	1	-274	97	145	
5033	20	0.00	0	0.20	28.00	1	-7	1	-114	-322	163	
5088	20	0.00	0	-0.24	28.00	1	-7	1	-59	-250	100	
5143	20	0.00	0	-0.42	28.00	1	-7	1	-216	-253	159	
5204	20	0.00	0	0.03	28.00	1	-7	1	-364	86	89	
5259	20	0.00	0	-0.06	28.00	1	-7	1	-347	-78	18	
5314	20	0.00	0	-0.33	28.00	1	-7	1	-244	303	40	
5370	20	0.00	0	-0.51	28.00	1	-7	1	-124	-260	66	
5425	20	0.00	0	-0.24	28.00	1	-7	1	-208	-260	157	
5483	20	0.00	0	-0.51	28.00	1	-7	1	-241	-362	225	
5543	20	0.00	0	0.29	28.00	1	-7	1	-282	-40	151	
5598	20	0.00	0	-0.42	28.00	1	-7	1	-312	-35	54	
5653	20	0.00	0	0.91	28.00	1	-7	1	-313	112	-7	
5709	20	0.00	0	0.03	28.10	1	-7	1	-226	-66	22	
5764	20	0.00	0	-0.24	28.00	1	-7	1	-178	-148	66	
5819	20	0.00	0	0.03	28.10	1	-7	1	-177	-298	183	
5880	20	0.00	0	0.38	28.10	1	-7	1	-231	-233	202	
5935	20	0.00	0	0.12	28.10	1	-7	1	-271	-30	116	
5990	20	0.00	0	0.03	28.10	1	-7	1	-244	-117	33	
6048	20	0.00	0	-0.15	28.10	1	-7	1	-239	98	-65	
6103	20	0.00	0	-0.06	28.10	1	-7	1	-228	-210	64	
6163	20	0.00	0	-0.15	28.10	1	-7	1	-291	-6	154	
