Ms	Code	A0	CA	MA	T	AX	AY	AZ	GX	GY	GZ
0	20	0.00	0	-0.03	29.60	0	0	0	0	0	0	
71	20	0.00	0	0.41	29.60	0	0	0	0	0	0	
124	20	0.00	0	0.41	29.60	0	0	0	0	0	0	
177	20	0.00	0	-0.21	29.60	0	0	0	0	0	0	
229	20	0.00	0	-0.38	29.60	0	0	0	0	0	0	
282	20	0.00	0	-0.21	29.60	0	0	0	0	0	0	
335	20	0.00	0	0.24	29.60	0	0	0	0	0	0	
391	20	0.00	0	0.24	29.60	0	0	0	0	0	0	
443	20	0.00	0	-0.03	29.60	0	0	0	0	0	0	
495	20	0.00	0	0.24	29.60	0	0	0	0	0	0	
549	20	0.00	0	-0.12	29.60	0	0	0	0	0	0	
601	20	0.00	0	0.15	29.60	0	0	0	0	0	0	
653	20	0.00	0	0.33	29.70	0	0	0	0	0	0	
711	20	0.00	0	0.59	29.60	0	0	0	0	0	0	
765	20	0.00	0	0.86	29.70	0	0	0	0	0	0	
817	20	0.00	0	0.68	29.70	0	0	0	0	0	0	
870	20	0.00	0	0.06	29.70	0	0	0	0	0	0	
922	20	0.00	0	-1.09	29.70	0	0	0	0	0	0	
979	20	0.00	0	0.24	29.70	0	0	0	0	0	0	
1031	20	0.00	0	0.24	29.70	0	0	0	0	0	0	
1084	20	0.00	0	0.59	29.70	0	0	0	0	0	0	
1136	20	0.00	0	0.24	29.70	0	0	0	0	0	0	
1190	20	0.00	0	0.50	29.70	0	0	0	0	0	0	
1242	20	0.00	0	0.68	29.70	0	0	0	0	0	0	
1298	20	0.00	0	0.24	29.70	0	0	0	0	0	0	
1351	20	0.00	0	-0.03	29.70	0	0	0	0	0	0	
1407	20	0.00	0	-0.21	29.70	0	0	0	0	0	0	
1459	20	0.00	0	-0.21	29.70	0	0	0	0	0	0	
1512	20	0.00	0	-0.47	29.70	0	0	0	0	0	0	
1564	20	0.00	0	0.24	29.70	0	0	0	0	0	0	
1621	20	0.00	0	-0.03	29.70	0	0	0	0	0	0	
1673	20	0.00	0	-0.38	29.70	0	0	0	0	0	0	
1726	20	0.00	0	-0.56	29.70	0	0	0	0	0	0	
1779	20	0.00	0	0.24	29.70	0	0	0	0	0	0	
1832	20	0.00	0	-0.38	29.70	0	0	0	0	0	0	
1884	20	0.00	0	0.59	29.70	0	0	0	0	0	0	
1940	20	0.00	0	-0.47	29.70	0	0	0	0	0	0	
1993	20	0.00	0	0.06	29.70	0	0	0	0	0	0	
2046	20	0.00	0	-0.64	29.70	0	0	0	0	0	0	
2101	20	0.00	0	0.06	29.70	0	0	0	0	0	0	
2154	20	0.00	0	-0.29	29.70	0	0	0	0	0	0	
2211	20	0.00	0	-0.47	29.70	0	0	0	0	0	0	
2263	20	0.00	0	-0.21	29.70	0	0	0	0	0	0	
2316	20	0.00	0	-0.47	29.70	0	0	0	0	0	0	
2368	20	0.00	0	-1.70	29.80	0	0	0	0	0	0	
2421	20	0.00	0	-1.35	29.80	0	0	0	0	0	0	
2474	20	0.00	0	-1.35	29.80	0	0	0	0	0	0	
2530	20	0.00	0	-1.62	29.80	0	0	0	0	0	0	
2583	20	0.00	-1	-1.53	29.80	0	0	0	0	0	0	
2635	20	0.00	-1	-1.62	29.80	0	0	0	0	0	0	
2689	20	0.00	-1	-1.70	29.80	0	0	0	0	0	0	
2741	20	0.00	-1	-1.88	29.80	0	0	0	0	0	0	
2797	20	0.00	-1	-1.00	29.80	0	0	0	0	0	0	
2853	20	0.00	-1	-1.62	29.80	0	0	0	0	0	0	
2906	20	0.00	-1	-1.53	29.80	0	0	0	0	0	0	
2959	20	0.00	-1	-1.35	29.80	0	0	0	0	0	0	
3011	20	0.00	-1	-1.09	29.80	0	0	0	0	0	0	
