Ms	Code	A0	CA	MA	T	AX	AY	AZ	GX	GY	GZ
0	20	0.00	1	1.64	27.80	1	-7	0	-331	52	-138	
104	20	0.00	1	1.81	27.80	1	-7	0	-968	1313	310	
170	20	0.00	1	1.81	27.80	1	-8	0	-578	205	284	
236	20	0.00	1	1.90	27.80	1	-7	0	-500	720	32	
303	20	0.00	1	2.08	27.80	1	-7	0	-490	108	398	
369	20	0.00	1	2.08	27.80	2	-7	0	-569	852	162	
435	20	0.00	1	1.64	27.90	1	-7	0	-174	1162	509	
501	20	0.00	1	1.99	27.80	1	-7	0	-533	1303	362	
566	20	0.00	1	1.46	27.90	2	-8	0	-507	1129	411	
632	20	0.00	1	1.72	27.90	2	-7	0	-343	623	488	
697	20	0.00	1	1.81	27.90	1	-7	2	-337	-1073	392	
769	20	0.00	1	2.25	27.90	2	-8	0	22	43	317	
834	20	0.00	1	1.90	27.90	2	-7	0	-770	922	62	
900	20	0.00	1	1.72	27.90	2	-7	-1	-365	-491	-22	
966	20	0.00	1	1.64	27.90	1	-7	0	-61	-1366	115	
1032	20	0.00	1	1.55	27.90	2	-7	0	467	-1639	137	
1098	20	0.00	1	1.46	27.90	1	-7	0	-265	-302	97	
1163	20	0.00	1	1.99	27.90	1	-7	0	-1256	3993	336	
1230	20	0.00	1	1.81	27.90	1	-6	0	-2601	3270	703	
1295	20	0.00	1	2.16	27.90	1	-8	0	858	-2537	205	
1361	20	0.00	1	2.16	27.90	1	-7	0	-499	573	223	
1427	20	0.00	1	1.99	27.90	1	-7	0	-371	-515	-22	
1496	40	0.00	2	2.52	27.90	1	-9	1	-264	822	-89	
1561	40	0.00	1	1.81	27.90	1	-7	0	-779	381	155	
1627	40	0.00	1	1.72	27.90	1	-7	-1	-417	1226	735	
1693	40	0.00	1	-0.14	27.90	1	-7	0	468	-5413	1702	
1762	40	0.00	1	1.99	27.90	1	-8	2	544	-8292	8042	
1828	40	0.00	1	1.28	27.90	1	-7	0	-470	1675	869	
1893	40	0.00	1	2.08	27.90	0	-7	0	-717	2913	170	
1959	40	0.00	1	2.34	27.90	1	-8	0	-720	2082	1206	
2025	40	0.00	1	2.25	27.90	1	-7	0	-156	2349	1261	
2091	40	0.00	1	2.16	27.90	2	-7	0	-595	763	-1364	
2163	40	0.00	1	1.46	27.90	2	-8	1	28	2381	13098	
2228	40	0.00	1	2.61	27.90	1	-9	0	-756	2257	800	
2295	40	0.00	2	2.16	27.90	-7	4	5	-900	2493	-6692	
2360	40	0.00	2	2.61	27.90	0	-8	0	-848	1046	428	
2426	40	0.00	2	2.52	27.90	0	-7	0	-227	-754	371	
2498	40	0.00	2	2.25	27.90	0	-8	0	-134	-875	176	
2567	40	0.00	2	2.61	27.90	0	-7	0	-265	974	-335	
2637	40	0.00	2	2.52	27.90	0	-7	0	-165	3204	-283	
2705	40	0.00	2	2.34	27.90	1	-7	0	-1029	975	-918	
2775	40	0.00	2	1.37	28.00	0	-8	3	-448	-319	-541	
2844	40	0.00	1	1.19	28.00	0	-7	-1	-461	-928	-53	
2918	40	0.00	1	1.46	28.00	0	-7	0	-298	596	223	
2988	40	0.00	1	1.19	28.00	0	-7	0	-498	234	180	
3057	40	0.00	1	2.43	28.00	0	-7	0	-514	334	166	
3126	40	0.00	1	2.16	27.90	2	-8	0	-312	225	50	
3195	40	0.00	2	2.61	27.90	0	-7	0	-125	-23	-9	
3263	40	0.00	2	2.16	27.90	0	-7	0	-330	245	42	
3336	40	0.00	2	2.52	27.90	0	-7	0	-538	1061	55	
3405	40	0.00	2	1.99	27.90	0	-7	0	-437	-131	163	
3474	40	0.00	2	1.99	27.90	1	-7	0	-330	-144	210	
3543	80	0.00	2	2.16	27.90	1	-8	0	-314	161	102	
